path	size_bytes
docs/_archive/2025-09-07_PROJECT_STATUS.md	10638
docs/_gpt/CONVENTIONS.MD	7188
docs/_gpt/INVENTORY.json	5626
docs/_gpt/MAIC_refactor_report.md	21762
docs/_gpt/MAINTENANCE_CHECKLIST.md	1324
docs/_gpt/MASTERPLAN.md	6713
docs/_gpt/MASTERPLAN_vNext.md	8023
docs/_gpt/TREE.md	2694
docs/_gpt/_policies/COLLAB_RULES_ADDENDUM_2025-09-17.md	3068
docs/_gpt/_policies/COLLAB_RULES_PASTE_SAFE_2025-09-17.md	2189
docs/_gpt/_policies/COLLAB_RULES_PROGRESS_2025-09-17.md	2216
docs/_gpt/_policies/MODE_SSOT_2025-09-17.md	811
docs/_gpt/_reports/AUDIT_INDEX_RAG_2025-09-17.md	15493
docs/_gpt/modes/_canon.schema.yaml	1243
docs/_gpt/modes/_canon.yaml	1065
docs/_gpt/modes/grammar.yaml	938
docs/_gpt/modes/passage.yaml	777
docs/_gpt/modes/sentence.yaml	3412
docs/_gpt/prompts.sample.json	1631
docs/_gpt/prompts.sample.yaml	1511
docs/pr/PR-A1_app_slim_admin_panel.md	3635
docs/pr/PR-A1r_app_slim_ops	1941
docs/pr/PR-L1a_legacy_sweep_app.md	8240
docs/roadmap/PLAN_legacy_sweep_and_app_slim.md	6883
